date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:41	8825/8825	---M-Z	200	added ('OK')	text/html	etag:%222279-51d69e6698580-gzip%22	https://gyires.inf.unideb.hu/KMITT/c02/ch16s03.html	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/ch16s03.html	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
21:33:41	17244/17244	---M-Z	200	added ('OK')	text/html	etag:%22435c-51d69e6698580-gzip%22	https://gyires.inf.unideb.hu/KMITT/c02/ch16s04.html	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/ch16s04.html	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
21:33:41	23209/23209	---M-Z	200	added ('OK')	text/html	etag:%225aa9-51d69e6698580-gzip%22	https://gyires.inf.unideb.hu/KMITT/c02/ch16s05.html	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/ch16s05.html	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
21:33:41	2720/2720	---M-Z	200	added ('OK')	text/html	etag:%22aa0-51d69e6698580-gzip%22	https://gyires.inf.unideb.hu/KMITT/c02/ch17.html	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/ch17.html	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
21:33:42	11753/11753	---M-Z	200	added ('OK')	text/html	etag:%222de9-51d69e6698580-gzip%22	https://gyires.inf.unideb.hu/KMITT/c02/bi01.html	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/bi01.html	(from https://gyires.inf.unideb.hu/KMITT/c02/index.html)
21:33:42	49196/49196	---M--	200	added ('OK')	image/png	etag:%22c02c-51d55aae40f5a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image1.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image1.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch02.html)
21:33:42	49618/49618	---M--	200	added ('OK')	image/png	etag:%22c1d2-51d55aae835da%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image2.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image2.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch02s02.html)
21:33:43	52317/52317	---M--	200	added ('OK')	image/png	etag:%22cc5d-51d55aaebeefa%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image3.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image3.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch02s03.html)
21:33:43	74552/74552	---M--	200	added ('OK')	image/png	etag:%2212338-51d55aaefd6fa%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image4.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image4.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch02s04.html)
21:33:43	97842/97842	---M--	200	added ('OK')	image/png	etag:%2217e32-51d55aaf7e57a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image6.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image6.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch02s05.html)
21:33:43	31077/31077	---M--	200	added ('OK')	image/png	etag:%227965-51d55aafc1b9a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image7.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image7.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch02s06.html)
21:33:44	43068/43068	---M--	200	added ('OK')	image/png	etag:%22a83c-51d55ab00327a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image8.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image8.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch02s06.html)
21:33:44	36580/36580	---M--	200	added ('OK')	image/png	etag:%228ee4-51d55aae46d1a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image10.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image10.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch02s06.html)
21:33:44	113046/113046	---M--	200	added ('OK')	image/jpeg	etag:%221b996-51d55aae4f9ba%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image11.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image11.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch04s03.html)
21:33:44	11071/11071	---M--	200	added ('OK')	image/png	etag:%222b3f-51d55aae5671a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image12.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image12.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch05.html)
21:33:45	14452/14452	---M--	200	added ('OK')	image/png	etag:%223874-51d55aae5c4da%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image13.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image13.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch05s02.html)
21:33:45	15227/15227	---M--	200	added ('OK')	image/png	etag:%223b7b-51d55aae612fa%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image14.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image14.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch05s03.html)
21:33:45	11071/11071	---M--	200	added ('OK')	image/png	etag:%222b3f-51d55aae670ba%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image15.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image15.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch05s03.html)
21:33:45	14679/14679	---M--	200	added ('OK')	image/png	etag:%223957-51d55aae6beda%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image16.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image16.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch05s03.html)
21:33:46	11629/11629	---M--	200	added ('OK')	image/png	etag:%222d6d-51d55aae71c9a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image17.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image17.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch06.html)
21:33:46	18641/18641	---M--	200	added ('OK')	image/png	etag:%2248d1-51d55aae76aba%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image18.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image18.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch06.html)
21:33:46	4080/4080	---M--	200	added ('OK')	image/png	etag:%22ff0-51d55aae7c87a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image19.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image19.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch06.html)
21:33:46	4848/4848	---M--	200	added ('OK')	image/png	etag:%2212f0-51d55aae8939a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image20.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image20.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch06.html)
21:33:47	18734/18734	---M--	200	added ('OK')	image/png	etag:%22492e-51d55aae8e1ba%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image21.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image21.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch06s02.html)
21:33:47	24972/24972	---M--	200	added ('OK')	image/jpeg	etag:%22618c-51d55aae93f7a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image22.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image22.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch07.html)
21:33:47	19069/19069	---M--	200	added ('OK')	image/png	etag:%224a7d-51d55aae98d9a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image23.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image23.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch07s03.html)
21:33:48	2825/2825	---M--	200	added ('OK')	image/png	etag:%22b09-51d55aae9eb5a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image24.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image24.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch07s04.html)
21:33:48	2348/2348	---M--	200	added ('OK')	image/png	etag:%2292c-51d55aaea491a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image25.png	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image25.png	(from https://gyires.inf.unideb.hu/KMITT/c02/ch07s04.html)
21:33:48	1889/1889	---M--	200	added ('OK')	image/jpeg	etag:%22761-51d55aaea973a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image26.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image26.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08.html)
21:33:48	2017/2017	---M--	200	added ('OK')	image/jpeg	etag:%227e1-51d55aaeaf4fa%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image27.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image27.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s02.html)
21:33:49	4590/4590	---M--	200	added ('OK')	image/jpeg	etag:%2211ee-51d55aaeb431a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image28.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image28.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s03.html)
